,domain,url,label
0,printpapa.com,http://www.printpapa.com/eshop/pc/Flyer-Half-Page-5-5x8-5-661p811.htm,1
1,printpapa.com,http://www.printpapa.com/eshop/pc/16-Page-Booklet-5-5x8-5-338p1662.htm,1
2,printpapa.com,http://www.printpapa.com/eshop/pc/28-Page-Booklet-5-5x8-5-338p1659.htm,1
3,printpapa.com,http://www.printpapa.com/eshop/pc/Flyer-Half-Page-5-5x8-5-661p811.htm#,1
4,printpapa.com,http://www.printpapa.com/eshop/pc/28-Page-Booklet-5-5x8-5-338p1659.htm#tab1,1
5,printpapa.com,http://www.printpapa.com/eshop/pc/16-Page-Booklet-5-5x8-5-338p1662.htm#tab6,1
6,printpapa.com,http://www.printpapa.com/eshop/pc/Gildan-Heavy-Cotton-5-3-oz-T-Shirt-5000-518p7748.htm,1
7,printpapa.com,http://www.printpapa.com/eshop/pc/Flyer-Half-Page-5-5x8-5-661p811.htm#tab1,1
8,printpapa.com,http://www.printpapa.com/eshop/pc/28-Page-Booklet-5-5x8-5-338p1659.htm,1
9,printpapa.com,http://www.printpapa.com/eshop/pc/16-Page-Booklet-5-5x8-5-338p1662.htm,1
10,printpapa.com,http://www.printpapa.com/eshop/pc/special.asp#491,0
11,printpapa.com,http://www.printpapa.com/eshop/pc/Apparel-Printing-c320.htm,0
12,printpapa.com,http://www.printpapa.com/eshop/pc/template_finder.asp,0
13,printpapa.com,http://www.printpapa.com/eshop/pc/press-release.asp,0
14,printpapa.com,http://www.printpapa.com/eshop/pc/Saddle-Stitched-Books-c337.htm,0
15,printpapa.com,http://support.printpapa.com/kb/a366/where-can-i-get-more-every-door-direct-mail-information.aspx,0
16,printpapa.com,http://www.printpapa.com/eshop/pc/viewCart.asp,0
17,printpapa.com,http://www.printpapa.com/eshop/pc/turnaround.asp,0
18,printpapa.com,http://www.printpapa.com/eshop/pc/pcartworkhelp.asp,0
19,printpapa.com,http://www.printpapa.com/eshop/pc/5-5-x-8-5-Portrait-Booklets-Most-Common-c338.htm,0
20,robertgraham.us,http://www.robertgraham.us/men/accessories/view-all/mens-marrakesh-brief-61260161-010.html,1
21,robertgraham.us,http://www.robertgraham.us/men/shorts-swim/mens-swim-dos-rios-trunks-rs184100cf.html,1
22,robertgraham.us,http://www.robertgraham.us/men/jeans-pants/mens-bottoms-marti-tailored-fit-pants-rs183001t.html,1
23,robertgraham.us,http://www.robertgraham.us/mens-socks-swift-r62558.html,1
24,robertgraham.us,http://www.robertgraham.us/mens-sport-shirts-diamante-short-sleeve-shirt-rs182000cf.html,1
25,robertgraham.us,http://www.robertgraham.us/men/sport-coats-vests/mens-sport-coats-lauros-sport-coat-rs185021tf.html,1
26,robertgraham.us,http://www.robertgraham.us/men/features/work-to-play/mens-bottoms-ermano-perfect-fit-jeans-rs183120t.html,1
27,robertgraham.us,http://www.robertgraham.us/women/view-all/womens-top-priscilla-mixed-prints-shirt-wp18100.html,1
28,robertgraham.us,http://www.robertgraham.us/mens-t-shirts-war-bonds-tee-rr187019cf.html,1
29,robertgraham.us,http://www.robertgraham.us/men/accessories/sunglasses/rob-sebastian-sunglasses-robsebasd570.html,1
30,robertgraham.us,http://www.robertgraham.us/men/dress-shirts.html?limit=12,0
31,robertgraham.us,http://www.robertgraham.us/men/accessories/view-all.html,0
32,robertgraham.us,http://www.robertgraham.us/women/view-all.html,0
33,robertgraham.us,https://www.robertgraham.us/customer/account/login,0
34,robertgraham.us,http://www.robertgraham.us/men/limited-edition.html,0
35,robertgraham.us,http://www.robertgraham.us/women/jackets.html,0
36,robertgraham.us,http://www.robertgraham.us/men/polos-tees.html,0
37,robertgraham.us,http://www.robertgraham.us/men/accessories/.html,0
38,robertgraham.us,http://www.robertgraham.us/men/sweaters-hoodies.html,0
39,robertgraham.us,http://www.robertgraham.us/men/short-sleeve-shirts.html,0
40,vitalmtb.com,https://gearclub.vitalmtb.com/product/vital-mtb-gear-club-6-month-gift-subscription/,1
41,vitalmtb.com,https://gearclub.vitalmtb.com/product/vital-mtb-stack-snapback/#site-navigation,1
42,vitalmtb.com,https://gearclub.vitalmtb.com/product/vital-mtb-stack-snapback/,1
43,vitalmtb.com,https://gearclub.vitalmtb.com/product/vital-mtb-stack-snapback/,1
44,vitalmtb.com,https://www.vitalmtb.com/product/deals/2286,1
45,vitalmtb.com,https://gearclub.vitalmtb.com/product/gear-club-box-4-june/,1
46,vitalmtb.com,https://gearclub.vitalmtb.com/product/vital-mtb-gear-club-12-month-gift-subscription/,1
47,vitalmtb.com,https://gearclub.vitalmtb.com/product/vital-mtb-gear-club/,1
48,vitalmtb.com,https://www.vitalmtb.com/product/deals/2286,1
49,vitalmtb.com,https://gearclub.vitalmtb.com/product/vital-mtb-gear-club-6-month-gift-subscription/#content,1
50,vitalmtb.com,"https://www.vitalmtb.com/photos/features/WORLD-CHAMPS-BIKE-Connor-Fearons-Kona-Operator,11964/WORLD-CHAMPS-BIKE-Connor-Fearons-Kona-Operator,124321/sspomer,2",0
51,vitalmtb.com,http://feeds.vitalmtb.com/VitalMtbSpotlights,0
52,vitalmtb.com,"https://www.vitalmtb.com/forums/The-Hub,2/2018-World-Championships-bikes,10271",0
53,vitalmtb.com,"https://www.vitalmtb.com/photos/features/WORLD-CHAMPS-BIKE-Martin-Maes-GT-Fury,11985/Martin-Maes-GT-Fury-World-Champs-Bike,124739/sspomer,2",0
54,vitalmtb.com,https://m.vitalmtb.com/join?mobile=true,0
55,vitalmtb.com,"https://www.vitalmtb.com/videos/features/UNBOXING-Vital-Gear-Club-Box-5,35806/sspomer,2",0
56,vitalmtb.com,"https://www.vitalmtb.com/photos/features/WORLD-CHAMPS-BIKE-Connor-Fearons-Kona-Operator,11964/WORLD-CHAMPS-BIKE-Connor-Fearons-Kona-Operator,124321/sspomer,2",0
57,vitalmtb.com,"https://www.vitalmtb.com/photos/features/WORLD-CHAMPS-BIKES-Mick-Tracey-Hannahs-Polygons,11970/WORLD-CHAMPS-BIKES-Mick-Tracey-Hannahs-Polygon-DH9s,124510/sspomer,2#",0
58,vitalmtb.com,"https://www.vitalmtb.com/photos/features/WORLD-CHAMPS-BIKE-Adam-Braytons-Scott-Gambler,11975/Adam-Braytons-Hoped-Out-Scott-Gambler-World-Champs-Bike,124605/sspomer,2",0
59,vitalmtb.com,"https://www.vitalmtb.com/community/iceman2058,94/all",0
60,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/new-in/products/lilac-floral-dress,1
61,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/new-in/products/green-pinstripe-shirt,1
62,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/trousers/products/black-white-crinkle-trousers,1
63,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/dresses/products/blue-paper-bag-dress,1
64,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/new-in/products/black-multi-button-shirt-dress,1
65,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/dresses/products/black-lace-dress,1
66,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/dresses/products/cream-ruched-slip-dress,1
67,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/trousers/products/purple-shimmer-flares,1
68,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/new-in/products/lilac-shimmer-cape,1
69,ohheygirlstore.com,https://www.ohheygirlstore.com/products/blue-tartan-2-piece,1
70,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/shop-all,0
71,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/shop-all?page=5,0
72,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/shop-all,0
73,ohheygirlstore.com,https://www.ohheygirlstore.com/collections,0
74,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/trousers,0
75,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/jumpers,0
76,ohheygirlstore.com,https://www.ohheygirlstore.com/pages/shipping-returns,0
77,ohheygirlstore.com,https://www.ohheygirlstore.com/collections,0
78,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/new-in,0
79,ohheygirlstore.com,https://www.ohheygirlstore.com/collections/new-in,0
80,deliciousseeds.com,https://www.deliciousseeds.com/del_es/cbd-jam.html,1
81,deliciousseeds.com,https://www.deliciousseeds.com/del_en/amnesia-haze-fem-5-seeds.html,1
82,deliciousseeds.com,https://www.deliciousseeds.com/del_es/wellness-auto-pack-auto-blue-ace-cbd-tonic-ryder.html,1
83,deliciousseeds.com,https://www.deliciousseeds.com/del_en/cotton-candy-kush.html,1
84,deliciousseeds.com,https://www.deliciousseeds.com/del_es/wellness-auto-pack-auto-blue-ace-cbd-tonic-ryder.html#review,1
85,deliciousseeds.com,https://www.deliciousseeds.com/del_en/original-juan-herer.html,1
86,deliciousseeds.com,https://www.deliciousseeds.com/del_en/cbd-jam.html,1
87,deliciousseeds.com,https://www.deliciousseeds.com/del_en/amnesia-haze-fem-5-seeds.html#review,1
88,deliciousseeds.com,https://www.deliciousseeds.com/del_en/critical-kali-mist.html,1
89,deliciousseeds.com,https://www.deliciousseeds.com/del_en/cbd-jam.html,1
90,deliciousseeds.com,https://www.deliciousseeds.com/del_en/reserva-privada.html,0
91,deliciousseeds.com,https://www.deliciousseeds.com/del_en/special-sbr-pack.html#write,0
92,deliciousseeds.com,https://www.deliciousseeds.com/del_en/rates/,0
93,deliciousseeds.com,https://www.deliciousseeds.com/del_en/cookies-policy/,0
94,deliciousseeds.com,https://www.deliciousseeds.com/del_en/cannabis-seeds/regular.html,0
95,deliciousseeds.com,https://www.deliciousseeds.com/del_en/terms-and-conditions/,0
96,deliciousseeds.com,https://www.deliciousseeds.com/del_en/wholesalers/,0
97,deliciousseeds.com,https://www.deliciousseeds.com/del_de/kannabia.html,0
98,deliciousseeds.com,https://www.deliciousseeds.com/del_en/kannabia.html,0
99,deliciousseeds.com,https://www.deliciousseeds.com/del_en/growshops/,0
100,pckuwait.com,https://www.pckuwait.com/product/asus-24-vg248qe-gaming-monitor-fullhd-144hz-1ms-response-time-built-2w-stereo-speakers/,1
101,pckuwait.com,https://www.pckuwait.com/product/intel-i7-7740x-processor-4-30ghz-lga2066-x-series/,1
102,pckuwait.com,https://www.pckuwait.com/product/wd-2tb-passport-x-gaming-storage/,1
103,pckuwait.com,https://www.pckuwait.com/product/dell-i5-laptop-i5-7200u-4gb-1tb-2gb-vga-wifi-bluetooth-arabicenglish-dos-15-6-inch-black/,1
104,pckuwait.com,https://www.pckuwait.com/product/asus-27-vg278q-gaming-led-full-hd-1080p-144hz-1ms-eye-care-technology-fully-responsive-smooth-game-play/,1
105,pckuwait.com,https://www.pckuwait.com/product/amd-ryzen-5-2600-processor-3-4ghz-6-cores-12-threads-19mb-cache-wraith-stealth-thermal-solution-higher-performance/,1
